candidate,property,T,R_A,R_B,n_subsamples,full_delta,full_verdict,mean_delta,deviation_from_full,across_subsample_sd,mean_ci_width,verdict_agreement,sign_agreement
gpt-5.4-2026-03-05,cited_span_set_agreement,20,8,5,40,-0.206916,rejected,-0.196438,0.010478,0.05234,0.277825,0.65,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,2,2,40,-0.206916,rejected,-0.326389,-0.119473,0.056482,0.355138,0.975,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,2,3,40,-0.206916,rejected,-0.305593,-0.098677,0.064383,0.338983,0.85,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,2,5,40,-0.206916,rejected,-0.286875,-0.079959,0.046738,0.330565,0.875,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,3,2,40,-0.206916,rejected,-0.252921,-0.046006,0.049557,0.284679,0.925,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,3,3,40,-0.206916,rejected,-0.235397,-0.028481,0.047105,0.269923,0.875,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,3,5,40,-0.206916,rejected,-0.245353,-0.038437,0.044328,0.264992,0.975,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,5,2,40,-0.206916,rejected,-0.242626,-0.035711,0.054852,0.263213,0.925,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,5,3,40,-0.206916,rejected,-0.234197,-0.027281,0.039987,0.253861,0.925,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,5,5,40,-0.206916,rejected,-0.215402,-0.008487,0.039064,0.248242,0.925,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,8,2,40,-0.206916,rejected,-0.239653,-0.032737,0.045892,0.25389,0.95,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,8,3,40,-0.206916,rejected,-0.225619,-0.018703,0.042041,0.241242,0.975,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,30,8,5,40,-0.206916,rejected,-0.202707,0.004209,0.048177,0.22965,0.825,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,2,2,40,-0.206916,rejected,-0.313763,-0.106847,0.029478,0.309297,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,2,3,40,-0.206916,rejected,-0.301128,-0.094213,0.034748,0.293414,0.975,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,2,5,40,-0.206916,rejected,-0.292844,-0.085928,0.040872,0.290385,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,3,2,40,-0.206916,rejected,-0.261217,-0.054301,0.035715,0.256164,0.975,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,3,3,40,-0.206916,rejected,-0.253191,-0.046275,0.032085,0.243472,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,3,5,40,-0.206916,rejected,-0.230539,-0.023623,0.026389,0.231478,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,5,2,40,-0.206916,rejected,-0.245112,-0.038197,0.039332,0.22851,0.975,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,5,3,40,-0.206916,rejected,-0.215429,-0.008513,0.02585,0.21508,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,5,5,40,-0.206916,rejected,-0.204299,0.002616,0.03036,0.212826,0.975,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,8,2,40,-0.206916,rejected,-0.236126,-0.02921,0.035145,0.22067,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,8,3,40,-0.206916,rejected,-0.220393,-0.013477,0.027319,0.207017,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,40,8,5,40,-0.206916,rejected,-0.209216,-0.002301,0.028807,0.203333,0.975,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,2,2,1,-0.206916,rejected,-0.319236,-0.11232,0.0,0.2727,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,2,3,1,-0.206916,rejected,-0.308472,-0.101557,0.0,0.233494,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,2,5,1,-0.206916,rejected,-0.293611,-0.086695,0.0,0.235749,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,3,2,1,-0.206916,rejected,-0.263935,-0.05702,0.0,0.211052,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,3,3,1,-0.206916,rejected,-0.25037,-0.043455,0.0,0.201761,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,3,5,1,-0.206916,rejected,-0.232463,-0.025547,0.0,0.185423,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,5,2,1,-0.206916,rejected,-0.240917,-0.034001,0.0,0.204408,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,5,3,1,-0.206916,rejected,-0.225417,-0.018501,0.0,0.166443,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,5,5,1,-0.206916,rejected,-0.20895,-0.002034,0.0,0.180496,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,8,2,1,-0.206916,rejected,-0.235563,-0.028647,0.0,0.186259,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,8,3,1,-0.206916,rejected,-0.220398,-0.013483,0.0,0.179983,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,60,8,5,1,-0.206916,rejected,-0.206916,0.0,0.0,0.17161,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,2,2,40,-0.224764,rejected,-0.344083,-0.119319,0.124267,0.574189,0.475,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,2,3,40,-0.224764,rejected,-0.3175,-0.092736,0.134351,0.579602,0.4,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,2,5,40,-0.224764,rejected,-0.320321,-0.095557,0.116189,0.546354,0.55,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,3,2,40,-0.224764,rejected,-0.275972,-0.051208,0.10614,0.490204,0.5,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,3,3,40,-0.224764,rejected,-0.256843,-0.032079,0.094023,0.470909,0.425,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,3,5,40,-0.224764,rejected,-0.233544,-0.008781,0.090912,0.45636,0.225,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,5,2,40,-0.224764,rejected,-0.261858,-0.037094,0.101648,0.44766,0.525,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,5,3,40,-0.224764,rejected,-0.222531,0.002233,0.104255,0.40714,0.375,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,5,5,40,-0.224764,rejected,-0.23915,-0.014386,0.090436,0.407318,0.55,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,8,2,40,-0.224764,rejected,-0.225664,-0.000901,0.091245,0.409512,0.425,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,8,3,40,-0.224764,rejected,-0.201193,0.023571,0.090852,0.391362,0.225,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,10,8,5,40,-0.224764,rejected,-0.23044,-0.005677,0.094978,0.391583,0.425,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,2,2,40,-0.224764,rejected,-0.333958,-0.109194,0.070201,0.420545,0.9,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,2,3,40,-0.224764,rejected,-0.32342,-0.098656,0.080781,0.408654,0.775,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,2,5,40,-0.224764,rejected,-0.30705,-0.082286,0.060407,0.406753,0.8,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,3,2,40,-0.224764,rejected,-0.261969,-0.037205,0.065679,0.356371,0.725,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,3,3,40,-0.224764,rejected,-0.227803,-0.003039,0.062713,0.335852,0.525,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,3,5,40,-0.224764,rejected,-0.231361,-0.006597,0.046283,0.314367,0.875,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,5,2,40,-0.224764,rejected,-0.265558,-0.040794,0.062428,0.327797,0.85,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,5,3,40,-0.224764,rejected,-0.261942,-0.037178,0.059748,0.320146,0.825,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,5,5,40,-0.224764,rejected,-0.236692,-0.011928,0.058691,0.298052,0.825,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,8,2,40,-0.224764,rejected,-0.243163,-0.018399,0.05842,0.314581,0.825,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,8,3,40,-0.224764,rejected,-0.224859,-9.5e-05,0.056952,0.294794,0.825,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,20,8,5,40,-0.224764,rejected,-0.211838,0.012925,0.055977,0.283678,0.8,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,2,2,40,-0.224764,rejected,-0.340486,-0.115722,0.053845,0.347382,0.975,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,2,3,40,-0.224764,rejected,-0.313877,-0.089113,0.064842,0.33255,0.9,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,2,5,40,-0.224764,rejected,-0.306106,-0.081342,0.046044,0.324157,0.95,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,3,2,40,-0.224764,rejected,-0.250528,-0.025764,0.049798,0.285123,0.95,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,3,3,40,-0.224764,rejected,-0.232847,-0.008083,0.045424,0.267541,0.875,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,3,5,40,-0.224764,rejected,-0.250219,-0.025455,0.042283,0.271251,0.95,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,5,2,40,-0.224764,rejected,-0.255419,-0.030656,0.053777,0.267794,0.975,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,5,3,40,-0.224764,rejected,-0.245873,-0.021109,0.040579,0.256547,0.975,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,5,5,40,-0.224764,rejected,-0.240119,-0.015356,0.041097,0.247999,0.975,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,8,2,40,-0.224764,rejected,-0.249298,-0.024534,0.044597,0.260609,0.975,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,8,3,40,-0.224764,rejected,-0.234201,-0.009437,0.041592,0.247838,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,30,8,5,40,-0.224764,rejected,-0.218411,0.006353,0.052898,0.234624,0.9,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,2,2,40,-0.224764,rejected,-0.329219,-0.104455,0.029857,0.303785,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,2,3,40,-0.224764,rejected,-0.310859,-0.086095,0.035061,0.289433,0.975,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,2,5,40,-0.224764,rejected,-0.311845,-0.087081,0.040045,0.284125,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,3,2,40,-0.224764,rejected,-0.25947,-0.034707,0.033189,0.252454,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,3,3,40,-0.224764,rejected,-0.248135,-0.023372,0.03149,0.241743,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,3,5,40,-0.224764,rejected,-0.234129,-0.009365,0.027854,0.230358,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,5,2,40,-0.224764,rejected,-0.260668,-0.035904,0.041716,0.230886,0.975,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,5,3,40,-0.224764,rejected,-0.228013,-0.003249,0.028353,0.21672,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,5,5,40,-0.224764,rejected,-0.225777,-0.001013,0.030379,0.213565,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,8,2,40,-0.224764,rejected,-0.246077,-0.021313,0.035985,0.224136,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,8,3,40,-0.224764,rejected,-0.227519,-0.002755,0.027692,0.210943,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,40,8,5,40,-0.224764,rejected,-0.226119,-0.001355,0.030169,0.206191,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,2,2,1,-0.224764,rejected,-0.333611,-0.108847,0.0,0.272034,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,2,3,1,-0.224764,rejected,-0.317824,-0.09306,0.0,0.234686,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,2,5,1,-0.224764,rejected,-0.311167,-0.086403,0.0,0.241274,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,3,2,1,-0.224764,rejected,-0.262222,-0.037458,0.0,0.206266,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,3,3,1,-0.224764,rejected,-0.245494,-0.02073,0.0,0.200507,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,3,5,1,-0.224764,rejected,-0.237463,-0.012699,0.0,0.176491,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,5,2,1,-0.224764,rejected,-0.255167,-0.030403,0.0,0.203172,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,5,3,1,-0.224764,rejected,-0.237981,-0.013218,0.0,0.177479,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,5,5,1,-0.224764,rejected,-0.232,-0.007236,0.0,0.203715,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,8,2,1,-0.224764,rejected,-0.244603,-0.019839,0.0,0.181876,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,8,3,1,-0.224764,rejected,-0.228024,-0.00326,0.0,0.177396,1.0,1.0
gpt-5.4-2026-03-05,extracted_span_set_agreement,60,8,5,1,-0.224764,rejected,-0.224764,0.0,0.0,0.175307,1.0,1.0
gemini-2.5-pro,label_agreement,10,2,2,40,-0.123571,inconclusive,-0.13625,-0.012679,0.109479,0.524106,0.925,0.9
gemini-2.5-pro,label_agreement,10,2,3,40,-0.123571,inconclusive,-0.155833,-0.032262,0.091486,0.522222,0.925,0.95
gemini-2.5-pro,label_agreement,10,2,5,40,-0.123571,inconclusive,-0.13725,-0.013679,0.105466,0.53867,0.95,0.925
gemini-2.5-pro,label_agreement,10,3,2,40,-0.123571,inconclusive,-0.1425,-0.018929,0.089709,0.433511,0.925,0.95
gemini-2.5-pro,label_agreement,10,3,3,40,-0.123571,inconclusive,-0.093333,0.030238,0.082183,0.373047,0.95,0.825
gemini-2.5-pro,label_agreement,10,3,5,40,-0.123571,inconclusive,-0.131,-0.007429,0.070011,0.37491,1.0,1.0
gemini-2.5-pro,label_agreement,10,5,2,40,-0.123571,inconclusive,-0.10725,0.016321,0.08271,0.38425,1.0,0.925
gemini-2.5-pro,label_agreement,10,5,3,40,-0.123571,inconclusive,-0.127833,-0.004262,0.095516,0.340727,0.875,0.9
gemini-2.5-pro,label_agreement,10,5,5,40,-0.123571,inconclusive,-0.1268,-0.003229,0.084834,0.35406,0.95,0.875
gemini-2.5-pro,label_agreement,10,8,2,40,-0.123571,inconclusive,-0.109777,0.013795,0.081616,0.338403,0.975,0.925
